name,abbreviation,count
"District Court, D. Connecticut",ctd  ,4495
"District Court, D. Delaware",ded  ,3749
"District Court, D. Florida",fld  ,0
"District Court, M.D. Florida",flmd  ,2998
"District Court, N.D. Florida",flnd  ,536
"District Court, S.D. Florida",flsd  ,4193
"Superior Court, S. D. Florida",superctsdfla  ,0
"District Court, D. Georgia",gad  ,0
"District Court, M.D. Georgia",gamd  ,837
"District Court, N.D. Georgia",gand  ,2814
"District Court, S.D. Georgia",gasd  ,771
"District Court, D. Hawaii",hid  ,1321
"District Court, D. Idaho",idd  ,430
"District Court, C.D. Illinois",ilcd  ,1029
"District Court, N.D. Illinois",ilnd  ,12460
"District Court, S.D. Illinois",ilsd  ,505
"District Court, E.D. Illinois",illinoised  ,184
"District Court, D. Illinois",illinoisd  ,1
"District Court, N.D. Indiana",innd  ,1829
"District Court, S.D. Indiana",insd  ,1387
"District Court, D. Indiana",indianad  ,3
"District Court, D. Iowa",iad  ,0
"District Court, N.D. Iowa",iand  ,1230
"District Court, S.D. Iowa",iasd  ,1165
"District Court, D. Kansas",ksd  ,4748
"District Court, D. Kentucky",kyd  ,0
"District Court, E.D. Kentucky",kyed  ,863
"District Court, W.D. Kentucky",kywd  ,1011
"District Court, D. Louisiana",lad  ,0
"District Court, E.D. Louisiana",laed  ,2763
"District Court, M.D. Louisiana",lamd  ,706
"District Court, W.D. Louisiana",lawd  ,1223
"District Court, Orleans",orld  ,0
"District Court, D. Maine",med  ,2505
"District Court, D. Maryland",mdd  ,5002
"District Court, D. Massachusetts",mad  ,7532
"District Court, D. Michigan",michd  ,0
"District Court, E.D. Michigan",mied  ,5436
"District Court, W.D. Michigan",miwd  ,1696
"District Court, D. Minnesota",mnd  ,3249
"District Court, D. Mississippi",missd  ,0
"District Court, N.D. Mississippi",msnd  ,942
"District Court, S.D. Mississippi",mssd  ,1696
"District Court, D. Missouri",mod  ,0
"District Court, E.D. Missouri",moed  ,2632
"District Court, W.D. Missouri",mowd  ,1957
"District Court, D. Montana",mtd  ,816
"District Court, D. Nebraska",ned  ,1165
"District Court, D. Nevada",nvd  ,1221
"District Court, D. New Hampshire",nhd  ,912
"District Court, D. New Jersey",njd  ,4865
"District Court, D. New Mexico",nmd  ,1084
"District Court, D. New York",nyd  ,0
"District Court, E.D. New York",nyed  ,7792
"District Court, N.D. New York",nynd  ,2580
"District Court, S.D. New York",nysd  ,26736
"District Court, W.D. New York",nywd  ,2924
"District Court, E.D. North Carolina",nced  ,1076
"District Court, M.D. North Carolina",ncmd  ,1083
"District Court, W.D. North Carolina",ncwd  ,1061
"District Court, D. North Dakota",ndd  ,606
"District Court, D. North Carolina",ncd  ,0
"District Court, N.D. Ohio",ohnd  ,3293
"District Court, S.D. Ohio",ohsd  ,2860
"District Court, D. Ohio",ohiod  ,3
"District Court, E.D. Oklahoma",oked  ,174
"District Court, N.D. Oklahoma",oknd  ,485
"District Court, W.D. Oklahoma",okwd  ,1010
"District Court, D. Oregon",ord  ,1859
"District Court, E.D. Pennsylvania",paed  ,10441
"District Court, M.D. Pennsylvania",pamd  ,2304
"District Court, W.D. Pennsylvania",pawd  ,3250
"District Court, D. Pennsylvania",pennsylvaniad  ,0
"District Court, D. Rhode Island",rid  ,1556
"District Court, D. South Carolina",scd  ,1474
"District Court, E.D. South Carolina",southcarolinaed  ,181
"District Court, W.D. South Carolina",southcarolinawd  ,95
"District Court, D. South Dakota",sdd  ,867
"District Court, E.D. Tennessee",tned  ,1363
"District Court, M.D. Tennessee",tnmd  ,1147
"District Court, W.D. Tennessee",tnwd  ,892
"District Court, D. Tennessee",tennessed  ,3
"District Court, D. Texas",texd  ,0
"District Court, E.D. Texas",txed  ,1591
"District Court, N.D. Texas",txnd  ,2412
"District Court, S.D. Texas",txsd  ,3497
"District Court, W.D. Texas",txwd  ,1283
"District Court, D. Utah",utd  ,1237
"District Court, D. Vermont",vtd  ,668
"District Court, D. Virginia",vad  ,0
"District Court, E.D. Virginia",vaed  ,4530
"District Court, W.D. Virginia",vawd  ,2018
"District Court, D. Washington",washd  ,0
"District Court, E.D. Washington",waed  ,437
"District Court, W.D. Washington",wawd  ,1146
"District Court, D. West Virginia",wvad  ,0
"District Court, N.D. West Virginia",wvnd  ,466
"District Court, S.D. West Virginia",wvsd  ,1238
"District Court, D. Wisconsin",wisd  ,0
"District Court, E.D. Wisconsin",wied  ,2740
"District Court, W.D. Wisconsin",wiwd  ,1181
"District Court, D. Wyoming",wyd  ,481
"District Court, Canal Zone",canalzoned  ,26
"District Court, D. Guam",gud  ,38
"District Court, Northern Mariana Islands",nmid  ,16
"District Court, D. Puerto Rico",prd  ,4054
"District Court, Virgin Islands",vid  ,656
United States Circuit Court,uscirct  ,76
U.S. Circuit Court for the District of Alabama,circtdal  ,0
U.S. Circuit Court for the District of Middle Alabama,circtmdal  ,0
U.S. Circuit Court for the District of Northern Alabama,circtndal  ,0
U.S. Circuit Court for the District of Southern Alabama,circtsdal  ,0
U.S. Circuit Court for the District of Arkansas,circtdar  ,0
U.S. Circuit Court for the District of Eastern Arkansas,circtedar  ,0
U.S. Circuit Court for the District of Western Arkansas,circtwdar  ,0
U.S. Circuit Court for the District of Territory of Arkansas,circtdterrar  ,0
U.S. Circuit Court for the District of California,circtdca  ,0
U.S. Circuit Court for the District of Northern California,circtndca  ,0
U.S. Circuit Court for the District of Southern California,circtsdca  ,0
U.S. Circuit Court for the District of Colorado,circtdco  ,0
U.S. Circuit Court for the District of Connecticut,circtdct  ,0
U.S. Circuit Court for the District of Delaware,circtdel  ,0
U.S. Circuit Court for the District of Georgia,circtdga  ,0
U.S. Circuit Court for the Northern District of Georgia,circtndga  ,0
U.S. Circuit Court for the Southern District of Georgia,circtsdga  ,0
U.S. Circuit Court for the District of Idaho,circtdid  ,0
U.S. Circuit Court for the District of Illinois,circtdil  ,0
U.S. Circuit Court for the Eastern District of Illinois,circtedil  ,0
U.S. Circuit Court for the Northern District of Illnois,circtndil  ,0
U.S. Circuit Court for the Southern District of Illnois,circtsdil  ,0
U.S. Circuit Court for the District of Indiana,circtdin  ,0
U.S. Circuit Court for the District of Northern Iowa,circtnia  ,0
U.S. Circuit Court for the Southern District of Iowa,circtsdia  ,0
U.S. Circuit Court for the District of Iowa,circtdia  ,0
U.S. Circuit Court for the District of Kansas,circtdks  ,0
U.S. Circuit Court for the District of Eastern Kentucky,circtedky  ,0
U.S. Circuit Court for the District of Kentucky,circtdky  ,0
U.S. Circuit Court for the District of Western Kentucky,circtwdky  ,0
U.S. Circuit Court for the District of Eastern Louisiana,circtedla  ,0
U.S. Circuit Court for the District of Louisiana,circtdla  ,0
U.S. Circuit Court for the District of Western Louisiana,circtwdla  ,0
U.S. Circuit Court for the District of Maine,circtdme  ,0
U.S. Circuit Court for the District of Maryland,circtdmd  ,0
U.S. Circuit Court for the District of Massachusetts,circtdma  ,0
U.S. Circuit Court for the District of Eastern Michigan,circtedmi  ,0
U.S. Circuit Court for the District of Western Michigan,circtwdmi  ,0
U.S. Circuit Court for the District of Michigan,circtdmi  ,0
U.S. Circuit Court for the District of Minnesota,circtdmn  ,0
U.S. Circuit Court for the Mississippi Territory,circtmissterr  ,1
U.S. Circuit Court for the District of Northern Mississippi,circtndms  ,0
U.S. Circuit Court for the District of Southern Mississippi,circtsdms  ,0
U.S. Circuit Court for the District of Eastern Missouri,circtedmo  ,0
U.S. Circuit Court for the District of Missouri,circtdmo  ,0
U.S. Circuit Court for the District of Western Missouri,circtwdmo  ,0
U.S. Circuit Court for the District of Montana,circtdmt  ,0
U.S. Circuit Court for the District of Nebraska,circtdne  ,0
U.S. Circuit Court for the District of Nevada,circtdnv  ,0
U.S. Circuit Court for the District of New Hampshire,circtdnh  ,0
U.S. Circuit Court for the District of New Jersey,circtdnj  ,0
U.S. Circuit Court for New York,circtny  ,1
U.S. Circuit Court for the District of Albany New York,circtdalbanyny  ,0
U.S. Circuit Court for the District of Eastern New York,circtedny  ,0
U.S. Circuit Court for the District of Northern New York,circtndny  ,0
U.S. Circuit Court for the District of Southern New York,circtsdny  ,0
U.S. Circuit Court for the District of Western New York,circtwdny  ,0
U.S. Circuit Court for the District of Eastern North Carolina,circtednc  ,0
U.S. Circuit Court for the District of North Carolina,circtnc  ,23
U.S. Circuit Court District of Cape Fear (North Carolina),circtcapefearnc  ,0
U.S. Circuit Court District of Edenton (North Carolina),circtdedenton  ,0
U.S. Circuit Court District of New Bern (North Carolina),circtdnewbern  ,0
U.S. Circuit Court District of Wilmington (North Carolina),circtdwilm  ,0
U.S. Circuit Court District of Albemarle (North Carolina),circtdalb  ,0
U.S. Circuit Court District of Pamptico (North Carolina),circtdpamptico  ,0
U.S. Circuit Court for the District of Western North Carolina,circtwdnc  ,0
U.S. Circuit Court for the District of North Dakota,circtdnd  ,0
U.S. Circuit Court for the District of Northern Ohio,circtndoh  ,0
U.S. Circuit Court for the District of Southern Ohio,circtsdoh  ,0
U.S. Circuit Court for the District of Ohio,circtdoh  ,0
U.S. Circuit Court for the District of Eastern Oklahoma,circtedok  ,0
U.S. Circuit Court for the District of Western Oklahoma,circtwdok  ,0
U.S. Circuit Court for the District of Oregon,circtdor  ,0
U.S. Circuit Court for the District of Eastern Pennsylvania,circtedpa  ,0
U.S. Circuit Court for the District of Middle Pennsylvania,circtmdpa  ,0
U.S. Circuit Court for the District of Pennsylvania,circtdpa  ,2
U.S. Circuit Court for the District of Western Pennsylvania,circtwdpa  ,0
U.S. Circuit Court for the District of Rhode Island,circtdri  ,0
U.S. Circuit Court for the District of South Carolina,circtdsc  ,0
U.S. Circuit Court for the District of South Dakota,circtdsd  ,0
U.S. Circuit Court for the District of Eastern Tennessee,circtedtn  ,0
U.S. Circuit Court for the District of Middle Tennessee,circtmdtn  ,0
U.S. Circuit Court for the District of Tennessee,circttenn  ,55
U.S. Circuit Court for the District of Western Tennessee,circtwdtn  ,0
U.S. Circuit Court for the District of Texas,circtdtx  ,0
U.S. Circuit Court for the District of Eastern Texas,circtedtx  ,0
U.S. Circuit Court for the District of Northern Texas,circtndtx  ,0
U.S. Circuit Court for the District of Southern Texas,circtsdtex  ,0
U.S. Circuit Court for the District of Western Texas,circtwdtex  ,0
U.S. Circuit Court for the District of Utah,circtdut  ,0
U.S. Circuit Court for the District of Vermont,circtdvt  ,0
U.S. Circuit Court for the District of Virginia,circtdva  ,0
U.S. Circuit Court for the District of Eastern Virginia,circtedva  ,0
U.S. Circuit Court for the District of Western Virginia,circtwdva  ,0
U.S. Circuit Court for the District of Eastern Washington,circtedwa  ,0
U.S. Circuit Court for the District of Washington,circtdwa  ,0
U.S. Circuit Court for the District of Western Washington,circtwdwa  ,0
U.S. Circuit Court for the District of District of Columbia,circtddc  ,0
U.S. Circuit Court for the District of Northern West Virginia,circtndwv  ,0
U.S. Circuit Court for the District of Southern West Virginia,circtsdwv  ,0
U.S. Circuit Court for the District of West Virginia,circtdwv  ,0
U.S. Circuit Court for the District of Eastern Wisconsin,circtedwi  ,0
U.S. Circuit Court for the District of Western Wisconsin,circtwdwi  ,0
U.S. Circuit Court for the District of Wisconsin,circtdwi  ,0
U.S. Circuit Court for the District of Wyoming,circtdwy  ,0
Supreme Court of Alabama,ala  ,37649
Alabama Court of Appeals,alactapp  ,17622
Court of Criminal Appeals of Alabama,alacrimapp  ,15439
Court of Civil Appeals of Alabama,alacivapp  ,13506
Alaska Supreme Court,alaska  ,7658
Court of Appeals of Alaska,alaskactapp  ,2843
Arizona Supreme Court,ariz  ,10026
Court of Appeals of Arizona,arizctapp  ,17517
Arizona Superior Court,arizsuper  ,0
Arizona Tax Court,ariztaxct  ,23
Supreme Court of Arkansas,ark  ,22877
Court of Appeals of Arkansas,arkctapp  ,7389
Arkansas Workers' Compensation Commission,arkworkcompcom  ,0
Arkansas Attorney General Reports,arkag  ,8456
California Supreme Court,cal  ,47534
California Court of Appeal,calctapp  ,147884
Appellate Division of the Superior Court of California,calappdeptsuper  ,298
"California Court of Appeals, 1st District",calctapp1d  ,8
"California Court of Appeals, 2nd District",calctapp2d  ,21
"California Court of Appeals, 3rd District",calctapp3d  ,8
"California Court of Appeals, 4th District",calctapp4d  ,30
"California Court of Appeals, 5th District",calctapp5d  ,2011
"California Court of Appeals, 6th District",calctapp6d  ,7
California Attorney General Reports,calag  ,1216
California Superior Court,calsuperct  ,111
"Superior Court of California, County of Alameda",calsuppctala  ,0
"Superior Court of California, County of Alpine",calsuppctalp  ,0
"Superior Court of California, County of Amador",calsuppctama  ,0
"Superior Court of California, County of Butte",calsuppctbut  ,0
"Superior Court of California, County of Calaveras",calsuppctcal  ,0
"Superior Court of California, County of Colusa",calsuppctcol  ,0
"Superior Court of California, County of Contra Costa",calsuppctcc  ,0
"Superior Court of California, County of Del Norte",calsuppctdn  ,0
"Superior Court of California, County of El Dorado",calsuppcted  ,0
"Superior Court of California, County of Fresno",calsuppctfre  ,0
"Superior Court of California, County of Glenn",calsuppctgle  ,0
"Superior Court of California, County of Humboldt",calsuppcthum  ,0
"Superior Court of California, County of Imperial",calsuppctimp  ,0
"Superior Court of California, County of Inyo",calsuppctiny  ,0
"Superior Court of California, County of Kern",calsuppctker  ,0
"Superior Court of California, County of Kings",calsuppctkin  ,0
"Superior Court of California, County of Lake",calsuppctlak  ,0
"Superior Court of California, County of Lassen",calsuppctlas  ,0
"Superior Court of California, County of Los Angeles",calsuppctla  ,0
"Superior Court of California, County of Madera",calsuppctmad  ,0
"Superior Court of California, County of Marin",calsuppctmrn  ,0
"Superior Court of California, County of Mariposa",calsuppctmpa  ,0
"Superior Court of California, County of Mendocino",calsuppctmen  ,0
"Superior Court of California, County of Merced",calsuppctmer  ,0
"Superior Court of California, County of Modoc",calsuppctmod  ,0
"Superior Court of California, County of Mono",calsuppctmno  ,0
"Superior Court of California, County of Monterey",calsuppctmon  ,0
"Superior Court of California, County of Napa",calsuppctnap  ,0
"Superior Court of California, County of Nevada",calsuppctnev  ,0
"Superior Court of California, County of Orange",calsuppctora  ,0
"Superior Court of California, County of Placer",calsuppctpla  ,0
"Superior Court of California, County of Plumas",calsuppctplu  ,0
"Superior Court of California, County of Riverside",calsuppctriv  ,0
"Superior Court of California, County of Sacramento",calsuppctsac  ,0
"Superior Court of California, County of San Benito",calsuppctsbt  ,0
"Superior Court of California, County of San Bernardino",calsuppctsbd  ,0
"Superior Court of California, County of San Diego",calsuppctsd  ,0
"Superior Court of California, County of San Francisco",calsuppctsf  ,344
"Superior Court of California, County of San Joaquin",calsuppctsj  ,0
"Superior Court of California, County of San Luis Obispo",calsuppctslo  ,0
"Superior Court of California, County of San Mateo",calsuppctsm  ,0
"Superior Court of California, County of Santa Barbara",calsuppctsb  ,0
"Superior Court of California, County of Santa Clara",calsuppctscl  ,0
"Superior Court of California, County of Santa Cruz",calsuppctscr  ,0
"Superior Court of California, County of Shasta",calsuppctsha  ,0
"Superior Court of California, County of Sierra",calsuppctsie  ,0
"Superior Court of California, County of Siskiyou",calsuppctsis  ,0
"Superior Court of California, County of Solano",calsuppctsol  ,0
"Superior Court of California, County of Sonoma",calsuppctson  ,0
"Superior Court of California, County of Stanislaus",calsuppctsta  ,0
"Superior Court of California, County of Sutter",calsuppctsut  ,0
"Superior Court of California, County of Tehama",calsuppctteh  ,0
"Superior Court of California, County of Trinity",calsuppcttri  ,0
"Superior Court of California, County of Tulare",calsuppcttul  ,0
"Superior Court of California, County of Tuolumne",calsuppcttuo  ,0
"Superior Court of California, County of Ventura",calsuppctven  ,0
"Superior Court of California, County of Yolo",calsuppctyol  ,0
"Superior Court of California, County of Yuba",calsuppctyub  ,0
"Municipal Court of California, County of Alameda",calmunctala  ,0
"Municipal Court of California, County of Alpine",calmunctalp  ,0
"Municipal Court of California, County of Amador",calmunctama  ,0
"Municipal Court of California, County of Butte",calmunctbut  ,0
"Municipal Court of California, County of Calaveras",calmunctcal  ,0
"Municipal Court of California, County of Colusa",calmunctcol  ,0
"Municipal Court of California, County of Contra Costa",calmunctcc  ,0
"Municipal Court of California, County of Del Norte",calmunctdn  ,0
"Municipal Court of California, County of El Dorado",calmuncted  ,0
"Municipal Court of California, County of Fresno",calmunctfre  ,0
"Municipal Court of California, County of Glenn",calmunctgle  ,0
"Municipal Court of California, County of Humboldt",calmuncthum  ,0
"Municipal Court of California, County of Imperial",calmunctimp  ,0
"Municipal Court of California, County of Inyo",calmunctiny  ,0
"Municipal Court of California, County of Kern",calmunctker  ,0
"Municipal Court of California, County of Kings",calmunctkin  ,0
"Municipal Court of California, County of Lake",calmunctlak  ,0
"Municipal Court of California, County of Lassen",calmunctlas  ,0
"Municipal Court of California, County of Los Angeles",calmunctla  ,0
"Municipal Court of California, County of Madera",calmunctmad  ,0
"Municipal Court of California, County of Marin",calmunctmrn  ,0
"Municipal Court of California, County of Mariposa",calmunctmpa  ,0
"Municipal Court of California, County of Mendocino",calmunctmen  ,0
"Municipal Court of California, County of Merced",calmunctmer  ,0
"Municipal Court of California, County of Modoc",calmunctmod  ,0
"Municipal Court of California, County of Mono",calmunctmno  ,0
"Municipal Court of California, County of Monterey",calmunctmon  ,0
"Municipal Court of California, County of Napa",calmunctnap  ,0
"Municipal Court of California, County of Nevada",calmunctnev  ,0
"Municipal Court of California, County of Orange",calmunctora  ,0
"Municipal Court of California, County of Placer",calmunctpla  ,0
"Municipal Court of California, County of Plumas",calmunctplu  ,0
"Municipal Court of California, County of Riverside",calmunctriv  ,0
"Municipal Court of California, County of Sacramento",calmunctsac  ,0
"Municipal Court of California, County of San Benito",calmunctsbt  ,0
"Municipal Court of California, County of San Bernardino",calmunctsbd  ,0
"Municipal Court of California, County of San Diego",calmunctsd  ,0
"Municipal Court of California, County of San Francisco",calmunctsf  ,0
"Municipal Court of California, County of San Joaquin",calmunctsj  ,0
"Municipal Court of California, County of San Luis Obispo",calmunctslo  ,0
"Municipal Court of California, County of San Mateo",calmunctsm  ,0
"Municipal Court of California, County of Santa Barbara",calmunctsb  ,0
"Municipal Court of California, County of Santa Clara",calmunctscl  ,0
"Municipal Court of California, County of Santa Cruz",calmunctscr  ,0
"Municipal Court of California, County of Shasta",calmunctsha  ,0
"Municipal Court of California, County of Sierra",calmunctsie  ,0
"Municipal Court of California, County of Siskiyou",calmunctsis  ,0
"Municipal Court of California, County of Solano",calmunctsol  ,0
"Municipal Court of California, County of Sonoma",calmunctson  ,0
"Municipal Court of California, County of Stanislaus",calmunctsta  ,0
"Municipal Court of California, County of Sutter",calmunctsut  ,0
"Municipal Court of California, County of Tehama",calmunctteh  ,0
"Municipal Court of California, County of Trinity",calmuncttri  ,0
"Municipal Court of California, County of Tulare",calmuncttul  ,0
"Municipal Court of California, County of Tuolumne",calmuncttuo  ,0
"Municipal Court of California, County of Ventura",calmunctven  ,0
"Municipal Court of California, County of Yolo",calmunctyol  ,0
"Municipal Court of California, County of Yuba",calmunctyub  ,0
"Califonia Justice Court, Butte County",caljustctbut  ,0
"Califonia Justice Court, Colusa County",caljustctcol  ,0
"Califonia Justice Court, Fresno County",caljustctfre  ,0
"Califonia Justice Court, Glenn County",caljustctgle  ,0
